,Eng,Chinese,No Units,District_x,Address_x,Geo_lat_x,Geo_lng_x,Hospital,Address_y,Geo_lat_y,Geo_lng_y,District_y,Distance(Km),Rank
361,Cheung Sha Wan Estate,????,1390,Sham Shui Po District,"Cheung Sha Wan, Hong Kong",22.3346115,114.1563831,Caritas Medical Centre,"Hong Kong, Sham Shui Po, Wing Hong St, 111????????",22.3414653,114.1531916,Sham Shui Po District,0.830026469,1
368,Cheung Sha Wan Estate,????,1390,Sham Shui Po District,"Cheung Sha Wan, Hong Kong",22.3346115,114.1563831,Princess Margaret Hospital,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",22.3415435,114.1338324,Kwai Tsing District,2.444771581,2
362,Cheung Sha Wan Estate,????,1390,Sham Shui Po District,"Cheung Sha Wan, Hong Kong",22.3346115,114.1563831,Kwong Wah Hospital,"25? Waterloo Rd, Yau Ma Tei, Hong Kong",22.3151014,114.172488,Yau Tsim Mong District,2.730345452,3
395,Cheung Shan Estate,???,1600,Tsuen Wan District,"Cheung Shan Estate Rd W, Kwai Chung, Hong Kong",22.3784476,114.130881,Yan Chai Hospital,"7-11, Yan Chai St, Tsuen Wan, Hong Kong",22.369713,114.1195962,Tsuen Wan District,1.513609972,1
386,Cheung Shan Estate,???,1600,Tsuen Wan District,"Cheung Shan Estate Rd W, Kwai Chung, Hong Kong",22.3784476,114.130881,Princess Margaret Hospital,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",22.3415435,114.1338324,Kwai Tsing District,4.115919815,2
379,Cheung Shan Estate,???,1600,Tsuen Wan District,"Cheung Shan Estate Rd W, Kwai Chung, Hong Kong",22.3784476,114.130881,Caritas Medical Centre,"Hong Kong, Sham Shui Po, Wing Hong St, 111????????",22.3414653,114.1531916,Sham Shui Po District,4.710295578,3
399,Cheung Wah Estate,???,1400,North District,"San Wan Rd, Fanling, Hong Kong",22.4928501,114.1415233,North District Hospital,"9 Po Kin Road, Sheung Shui, Hong Kong",22.4967185,114.124646,North District,1.786946572,1
396,Cheung Wah Estate,???,1400,North District,"San Wan Rd, Fanling, Hong Kong",22.4928501,114.1415233,Alice Ho Miu Ling Nethersole Hospital,"11? Chuen On Rd, Tai Po, Hong Kong",22.458671,114.174827,Tai Po District,5.115504517,2
402,Cheung Wah Estate,???,1400,North District,"San Wan Rd, Fanling, Hong Kong",22.4928501,114.1415233,Pok Oi Hospital,"Au Tau, Hong Kong",22.4454026,114.0419062,Yuen Long District,11.51895639,3
431,Cheung Wang Estate,???,4300,Kwai Tsing District,"Tsing Yi, Hong Kong",22.356391,114.096219,Yan Chai Hospital,"7-11, Yan Chai St, Tsuen Wan, Hong Kong",22.369713,114.1195962,Tsuen Wan District,2.82448883,1
422,Cheung Wang Estate,???,4300,Kwai Tsing District,"Tsing Yi, Hong Kong",22.356391,114.096219,Princess Margaret Hospital,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",22.3415435,114.1338324,Kwai Tsing District,4.207029968,2
415,Cheung Wang Estate,???,4300,Kwai Tsing District,"Tsing Yi, Hong Kong",22.356391,114.096219,Caritas Medical Centre,"Hong Kong, Sham Shui Po, Wing Hong St, 111????????",22.3414653,114.1531916,Sham Shui Po District,6.091449172,3
448,Cheung Wo Court,???,1584,Kwun Tong District,"Cheung Wo Court Wo Kin House, 277 Hip Wo St, Hong Kong",22.3191117,114.2268133,United Christian Hospital,"130 Hip Wo St, Kwun Tong, Hong Kong",22.323359,114.22703,Kwun Tong District,0.472937528,1
446,Cheung Wo Court,???,1584,Kwun Tong District,"Cheung Wo Court Wo Kin House, 277 Hip Wo St, Hong Kong",22.3191117,114.2268133,Tseung Kwan O Hospital,"Hong Kong, Tseung Kwan O, ????? 2 ?",22.3178963,114.2698832,Sai Kung District,4.433698122,2
441,Cheung Wo Court,???,1584,Kwun Tong District,"Cheung Wo Court Wo Kin House, 277 Hip Wo St, Hong Kong",22.3191117,114.2268133,Queen Elizabeth Hospital,"30? Gascoigne Rd, Yau Ma Tei, Hong Kong",22.3088961,114.1746325,Yau Tsim Mong District,5.488176483,3
457,Chevalier Garden,????,3942,Sha Tin District,"Chevalier Garden, Hong Kong",22.4045675,114.224561,Prince of Wales Hospital,"Lui Che Woo Clinical Sciences Building (Professorial Block), 30-32 Ngan Shing St, Sha Tin, Hong Kong",22.378404,114.201222,Sha Tin District,3.772188505,1
450,Chevalier Garden,????,3942,Sha Tin District,"Chevalier Garden, Hong Kong",22.4045675,114.224561,Alice Ho Miu Ling Nethersole Hospital,"11? Chuen On Rd, Tai Po, Hong Kong",22.458671,114.174827,Tai Po District,7.896688619,2
466,Chevalier Garden,????,3942,Sha Tin District,"Chevalier Garden, Hong Kong",22.4045675,114.224561,United Christian Hospital,"130 Hip Wo St, Kwun Tong, Hong Kong",22.323359,114.22703,Kwun Tong District,9.036093999,3
483,Chi Lok Fa Yuen,????,1000,Tuen Mun District,"18? Tsing Hoi Circuit, Tuen Mun, Hong Kong",22.387389,113.980276,Tuen Mun Hospital,"Block H, Tsing Chung Koon Rd, Tuen Mun, Hong Kong",22.4082312,113.9758602,Tuen Mun District,2.362258814,1
481,Chi Lok Fa Yuen,????,1000,Tuen Mun District,"18? Tsing Hoi Circuit, Tuen Mun, Hong Kong",22.387389,113.980276,Tin Shui Wai Hospital,"11 Tin Tan St, Tin Shui Wai, Hong Kong",22.4584632,113.9958452,Yuen Long District,8.065768603,2
474,Chi Lok Fa Yuen,????,1000,Tuen Mun District,"18? Tsing Hoi Circuit, Tuen Mun, Hong Kong",22.387389,113.980276,Pok Oi Hospital,"Au Tau, Hong Kong",22.4454026,114.0419062,Yuen Long District,9.043957966,3
494,Ching Chun Court,???,465,Kwai Tsing District,"2B Ching Hong Rd, Tsing Yi, Hong Kong",22.3463559,114.1089455,Princess Margaret Hospital,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",22.3415435,114.1338324,Kwai Tsing District,2.615602047,1
503,Ching Chun Court,???,465,Kwai Tsing District,"2B Ching Hong Rd, Tsing Yi, Hong Kong",22.3463559,114.1089455,Yan Chai Hospital,"7-11, Yan Chai St, Tsuen Wan, Hong Kong",22.369713,114.1195962,Tsuen Wan District,2.819488532,2
487,Ching Chun Court,???,465,Kwai Tsing District,"2B Ching Hong Rd, Tsing Yi, Hong Kong",22.3463559,114.1089455,Caritas Medical Centre,"Hong Kong, Sham Shui Po, Wing Hong St, 111????????",22.3414653,114.1531916,Sham Shui Po District,4.584219328,3
507,Ching Ho Estate,???,7200,North District,"5 Ching Hiu Rd, Sheung Shui, Hong Kong",22.494056,114.126815,North District Hospital,"9 Po Kin Road, Sheung Shui, Hong Kong",22.4967185,114.124646,North District,0.370648633,1
504,Ching Ho Estate,???,7200,North District,"5 Ching Hiu Rd, Sheung Shui, Hong Kong",22.494056,114.126815,Alice Ho Miu Ling Nethersole Hospital,"11? Chuen On Rd, Tai Po, Hong Kong",22.458671,114.174827,Tai Po District,6.311877572,2
510,Ching Ho Estate,???,7200,North District,"5 Ching Hiu Rd, Sheung Shui, Hong Kong",22.494056,114.126815,Pok Oi Hospital,"Au Tau, Hong Kong",22.4454026,114.0419062,Yuen Long District,10.26875266,3
